,benchmark_name,collector_name,iteration,timescale,units,measurements,instructions,l2_latency.l2_cycles_waiting_on_fills,xi_sys_fill_latency
0,MiniApp_1GPUs_sizeA,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_2GPUs_sizeA,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_4GPUs_sizeA,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_8GPUs_sizeA,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_1GPUs_sizeB,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_2GPUs_sizeB,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_4GPUs_sizeB,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_8GPUs_sizeB,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_1GPUs_sizeC,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_2GPUs_sizeC,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_4GPUs_sizeC,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_8GPUs_sizeC,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_1GPUs_sizeD,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_2GPUs_sizeD,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_4GPUs_sizeD,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_8GPUs_sizeD,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_1GPUs_sizeE,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_2GPUs_sizeE,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_4GPUs_sizeE,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_8GPUs_sizeE,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_1GPUs_sizeF,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_2GPUs_sizeF,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_4GPUs_sizeF,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
0,MiniApp_8GPUs_sizeF,PerfCollector_0,0,1000,count per timescale milliseconds,"['instructions', 'l2_latency.l2_cycles_waiting_on_fills', 'xi_sys_fill_latency']",[],[],[]
